Group,Fig.,User Interface,,,,,,MIDI assign reference,,,,"MIDI-IN
(to PC/Mac)",,,"MIDI-OUT
(from PC/Mac)",,,Details (Data 2)
,,UI name,+SHIFT,,Trigger,Deck,Condition (mode),"MIDI
Channel (Dec)","NOTE
/ CC",MIDI Data (Data 1) (Dec),(English scale),Status (Hex),Data 1 (Hex),Data 2 (Hex),Status (Hex),Data 1 (Hex),Data 2 (Hex),
1. DECK,1-1L,PLAY/PAUSE L,No,,Press,Deck 1,-,1,Note,11,B-1,0x90,0xB,dd,0x90,0xB,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PLAY/PAUSE L,Yes,,,,,1,Note,71,B4,0x90,0x47,dd,0x90,0x47,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PLAY/PAUSE L,No,,Press,Deck 3,-,3,Note,11,B-1,0x92,0xB,dd,0x92,0xB,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PLAY/PAUSE L,Yes,,,,,3,Note,71,B4,0x92,0x47,dd,0x92,0x47,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-1R,PLAY/PAUSE R,No,,Press,Deck 2,-,2,Note,11,B-1,0x91,0xB,dd,0x91,0xB,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PLAY/PAUSE R,Yes,,,,,2,Note,71,B4,0x91,0x47,dd,0x91,0x47,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PLAY/PAUSE R,No,,Press,Deck 4,-,4,Note,11,B-1,0x93,0xB,dd,0x93,0xB,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PLAY/PAUSE R,Yes,,,,,4,Note,71,B4,0x93,0x47,dd,0x93,0x47,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-2L,CUE L,No,,Press,Deck 1,-,1,Note,12,C0,0x90,0xC,dd,0x90,0xC,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CUE L,Yes,,,,,1,Note,72,C5,0x90,0x48,dd,0x90,0x48,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CUE L,No,,Press,Deck 3,-,3,Note,12,C0,0x92,0xC,dd,0x92,0xC,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CUE L,Yes,,,,,3,Note,72,C5,0x92,0x48,dd,0x92,0x48,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-2R,CUE R,No,,Press,Deck 2,-,2,Note,12,C0,0x91,0xC,dd,0x91,0xC,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CUE R,Yes,,,,,2,Note,72,C5,0x91,0x48,dd,0x91,0x48,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CUE R,No,,Press,Deck 4,-,4,Note,12,C0,0x93,0xC,dd,0x93,0xC,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CUE R,Yes,,,,,4,Note,72,C5,0x93,0x48,dd,0x93,0x48,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-3L,SHIFT L,-,,Press,Deck 1,-,1,Note,63,D#4,0x90,0x3F,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,SHIFT L,-,,Press,Deck 3,-,3,Note,63,D#4,0x92,0x3F,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-3R,SHIFT R,-,,Press,Deck 2,-,2,Note,63,D#4,0x91,0x3F,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,SHIFT R,-,,Press,Deck 4,-,4,Note,63,D#4,0x93,0x3F,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-4L,JOG DIAL L (Platter),,No,Turn,Deck 1,Vinyl On,1,CC,34,-,0xB0,0x22,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL L (Platter),,,,,Vinyl Off,1,CC,35,-,0xB0,0x23,dd,-,-,-,
,,JOG DIAL L (Platter),,Yes,,,-,1,CC,41,-,0xB0,0x29,dd,-,-,-,
,,JOG DIAL L (Platter),,No,Touch,,,1,Note,54,F#3,0x90,0x36,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL L (Platter),,Yes,,,,1,Note,103,G7,0x90,0x67,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL L (Wheel side),,No,Turn,,,1,CC,33,-,0xB0,0x21,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL L (Wheel side),,Yes,,,,1,CC,38,-,0xB0,0x26,dd,,,,
,,JOG ILLUMINATION L,,-,-,,-,12,CC,-,-,-,-,-,0xBB,0x0,dd,0x00~0x48
,,JOG DIAL L (Platter),,No,Turn,Deck 3,Vinyl On,3,CC,34,-,0xB2,0x22,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL L (Platter),,,,,Vinyl Off,3,CC,35,-,0xB2,0x23,dd,-,-,-,
,,JOG DIAL L (Platter),,Yes,,,-,3,CC,41,-,0xB2,0x29,dd,-,-,-,
,,JOG DIAL L (Platter),,No,Touch,,,3,Note,54,F#3,0x92,0x36,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL L (Platter),,Yes,,,,3,Note,103,G7,0x92,0x67,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL L (Wheel side),,No,Turn,,,3,CC,33,-,0xB2,0x21,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL L (Wheel side),,Yes,,,,3,CC,38,-,0xB2,0x26,dd,,,,
,,JOG ILLUMINATION L,,-,-,,-,12,CC,-,-,-,-,-,0xBB,0x2,dd,0x00~0x48
,1-4R,JOG DIAL R (Platter),,No,Turn,Deck 2,Vinyl On,2,CC,34,-,0xB1,0x22,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL R (Platter),,,,,Vinyl Off,2,CC,35,-,0xB1,0x23,dd,-,-,-,
,,JOG DIAL R (Platter),,Yes,,,-,2,CC,41,-,0xB1,0x29,dd,-,-,-,
,,JOG DIAL R (Platter),,No,Touch,,,2,Note,54,F#3,0x91,0x36,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL R (Platter),,Yes,,,,2,Note,103,G7,0x91,0x67,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL R (Wheel side),,No,Turn,,,2,CC,33,-,0xB1,0x21,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL R (Wheel side),,Yes,,,,2,CC,38,-,0xB1,0x26,dd,,,,
,,JOG ILLUMINATION R,,-,-,,-,12,CC,-,-,-,-,-,0xBB,0x1,dd,0x00~0x48
,,JOG DIAL R (Platter),,No,Turn,Deck 4,Vinyl On,4,CC,34,-,0xB3,0x22,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL R (Platter),,,,,Vinyl Off,4,CC,35,-,0xB3,0x23,dd,-,-,-,
,,JOG DIAL R (Platter),,Yes,,,-,4,CC,41,-,0xB3,0x29,dd,-,-,-,
,,JOG DIAL R (Platter),,No,Touch,,,4,Note,54,F#3,0x93,0x36,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL R (Platter),,Yes,,,,4,Note,103,G7,0x93,0x67,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL R (Wheel side),,No,Turn,,,4,CC,33,-,0xB3,0x21,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL R (Wheel side),,Yes,,,,4,CC,38,-,0xB3,0x26,dd,,,,
,,JOG ILLUMINATION R,,-,-,,-,12,CC,-,-,-,-,-,0xBB,0x3,dd,0x00~0x48
